Day relative to ovulation	n	Total LH (mIU/ml)	E2 (pmol/l)	Progesterone (nmol/l)
-16	4	5.2 (4.4 -8.5)	161.9 (106.7 -177.5)	2.4 (1.8 -2.7)
-15	1	5.5 (5.5-5.5)	83.7 (83.7-83.7)	1.9 (1.9-1.9)
-14	3	6.4 (5.2-12.5)	164.8 (156.3-166.3)	1.0 (0.8-2.4)
-13	5	7.5 (5.6 -9.8)	154.5 (128.0 -165.2)	1.6 (0.9 -1.9)
-12	4	6.7 (3.6-14.0)	153.1 (143.4-168.1)	2.1 (1.7-2.2)
-11	8	5.0 (3.9-7.5)	162.1 (81.9 -218.1)	1.5 (0.3-2.2)
-10	11	7.0 (3.5 -7.8)	215.9 (135.1 -258.8)	1.5 (0.5-2.0)
-9	11	5.1 (3.1-8.2)	175.1 (136.2-269.5)	1.4 (0.3-2.5)
-8	19	6.0 (4.4 -8.9)	238.6 (138.5 -351.9)	1.0 (0.4 -2.6)
-7	14	6.0 (3.9 -11.0)	259.6 (157.6-334.6)	0.8 (0.5-1.6)
-6	15	5.8 (4.0 -9.0)	309.8 (199.3 -608.1)	1.3 (0.5-2.6)
-5	18	5.8 (4.2-11.1)	516.3 (262.8 -626.9)	1.4 (0.5-2.1)
-4	18	6.9 (4.6-9.9)	446.9 (337.3 -809.1)	0.9 (0.4-2.4)
-3	27	8.6 (4.3 -16.1)	779.7 (458.4-1144.5)	1.3 (0.6 -2.3)
-2	20	19.8 (8.5-55.0)	954.6 (580.9 -1359.4)	1.9 (0.8 -3.8)
-1	30	38.3 (26.9 -74.0)	853.1 (489.3 -1220.8)	3.1 (2.0 -5.0)
0	26	16.3 (10.1 -29.9)	301.6 (177.9-494.1)	4.6 (2.9 -9.7)
1	6	8.0 (4.1 -10.6)	314.6 (248.3-448.2)	10.3 (7.2-15.6)
2	4	5.5 (1.6 -14.5)	478.7 (268.0 -595.1)	20.7 (8.0 -32.9)
3	1	5.8 (5.8 -5.8)	266.1 (266.1-266.1)	22.7 (22.7 -22.7)
4	1	4.5 (4.5-4.5)	720.6 (720.6 -720.6)	33.4 (33.4 -33.4)
5	1	3.1 (3.1 -3.1)	687.2 (687.2 -687.2)	30.8 (30.8-30.8)
6	18	3.6 (1.4 -7.9)	394.6 (274.4 -675.8)	36.3 (20.2 -63.9)
7	14	3.1 (2.2 -6.2)	409.3 (266.1 -681.5)	32.0 (21.8 -63.1)
8	18	3.3 (1.3 -8.9)	521.1 (355.1-698.9)	32.7 (21.4 -56.7)
9	13	6.2 (2.3 -9.8)	461.8 (286.0-672.9)	33.1 (17.1 -63.4)
10	6	3.2 (1.2-3.7)	373.3 (215.3-468.1)	21.3 (11.0 -29.7)
11	2	1.9 (1.8 -2.1)	302.1 (200.5 -403.7)	17.1 (9.8-24.4)